_id,Hệ điều hành,Bộ vi xử lý,Hãng sản xuất,image_url,product_name,Cân nặng,VGA,price,product_url,device,"Bảo mật, công nghệ",Giao tiếp mạng,Card Reader,Kích thước (rộng x dài x cao),Bộ nhớ trong,Ổ cứng,Màn hình,Ổ quang,Dung lượng tối đa,Giao tiếp không dây,Cổng giao tiếp,Chủng loại,Số khe cắm,Mầu sắc,Part Number,Chipset,Phụ kiện đi kèm,ram
62a5d5af5e7f53608f8c7f7e,win 11,core™ i5-1155g7,laptop msi,https://anphat.com.vn/media/product/75_41135_41133_39270_20457_laptop_msi_modern_15_a11mu_678vn_1.jpg,laptop msi modern 15 a11m-new (core™ i5-1155g7 | 8gb | 512gb | intel® iris® xe | 15.6 inch fhd | win 11 | xám),1.6 kg,intel® iris® xe,0,https://www.anphatpc.com.vn/laptop-msi-modern-15-a11m-new.html,laptop,bàn phím tiêu chuẩn - đèn nền bàn phím (backlight keyboard with white led),-,1 x microsd reader,356.8 x 233.75 x 16.9 mm,512gb,,15.6 inch fhd,không có,8gb(8gbx1),wi-fi 6 802.11ax,1x type-c usb3.2 gen12x type-a usb3.2 gen21x type-a usb2.0,msi modern 15 a11m-new,2 khe,xám,,,,8gb
62a5d5af5e7f53608f8c7f7f,win 11,ryzen™ 7-5800h,laptop msi,https://anphat.com.vn/media/product/75_41134_41024_laptop_msi_alpha_15_b5eek_203vn__1_.jpg,laptop msi alpha 15 b5eek-205vn (ryzen™ 7-5800h | 16gb | 512gb | rx 6600m 8gb | 15.6 inch fhd | win 11 | đen),2.35 kg,rx 6600m 8gb,0,https://www.anphatpc.com.vn/laptop-msi-alpha-15-b5eek-205vn.html,laptop,bàn phím tiêu chuẩn - đèn nền bàn phím,gb lan (up to 2.5g),-,359 x 259 x 23.95 mm,512gb,,15.6 inch fhd,không có,16gb(8gb*2),802.11 ax wi-fi 6,1x type-c (usb3.2 gen1 / dp)2x type-a usb3.2 gen11x type-a usb2.0,msi alpha 15 b5eek-205vn,2 khe,đen,,,,16gb
62a5d5af5e7f53608f8c7f80,win 10,core™ i7-1195g7,laptop msi,https://anphat.com.vn/media/product/75_39938_product_1620716306fd94be0082b1b5f301ee11a01d8287f8.png,laptop msi summit e16 flip a11uct 030vn (core™ i7-1195g7 | 16gb | 1tb ssd | rtx 3050 4gb | 16 inch qhd+ | win 10 | đen),2 kg,rtx 3050 4gb,0,https://www.anphatpc.com.vn/laptop-msi-summit-e16-flip-a11uct-030vn.html,laptop,"bàn phím tiêu chuẩn - backlight keyboard (single-color, white)",,1x micro sd,358.2 x 258.5 x 16.9 mm,1tb ssd,,16 inch qhd+,không có,16gb,killer ax wi-fi 6e,2x type-c (usb / dp / thunderbolt™) with pd charging2x type-a usb3.2 gen2,msi summit e16 flip a11uct 030vn,-,đen,,,,16gb
62a5d5af5e7f53608f8c7f81,windows 10 home,intel® core™ i5-1135g7,laptop msi,https://anphat.com.vn/media/product/75_38834_19617_laptop_msi_modern_14_b11sb_xanh_1.jpg,laptop msi modern 14 b11sb 626vn (core i5-1135g7 | 8gb | 512gb | mx450 2gb | 14 inch fhd | win 10),1.3 kg,nvidia geforce® mx450 2gb gddr5,0,https://www.anphatpc.com.vn/laptop-msi-modern-14-b11sb-626vn-core-i5-1135g7-8gb-512gb-mx450-2gb-14-inch-fhd-win-10.html,laptop,"bàn phím tiêu chuẩn, single backlight kb(white)",killer gb lan,1x micro sd card reader,319 x 219 x 16.9 mm,8gb(8gbx1)ddr4 3200mhz,512gb nvme pcie gen3x4 ssd (new),"14 inch fhd (1920*1080), ips-level 60hz 72%ntsc thin bezel, close to 100%srgb",không có,,intel wi-fi 6 ax201(2*2 ax),1x type-c (usb4 / dp / thunderbolt™4) with pd charging2x type-a usb3.2 gen2,msi modern 14 b11sb 626vn,,blue stone,,,,
62a5d5b05e7f53608f8c7f82,windows 10 home,intel® core™ i5-1135g7,laptop msi,https://anphat.com.vn/media/product/75_38833_20389_laptop_msi_modern_14_b11sb_625vn_1.jpg,laptop msi modern 14 b11sb 625vn (core i5-1135g7 | 8gb | 512gb | mx450 2gb | 14 inch fhd | win 10),1.3 kg,nvidia geforce® mx450 2gb gddr5,0,https://www.anphatpc.com.vn/laptop-msi-modern-14-b11sb-625vn-core-i5-1135g7-8gb-512gb-mx450-2gb-14-inch-fhd-win-10.html,laptop,"bàn phím tiêu chuẩn, single backlight kb(white)",killer gb lan,1x micro sd card reader,319 x 219 x 16.9 mm,8gb(8gbx1)ddr4 3200mhz,512gb nvme pcie gen3x4 ssd (new),"14 inch fhd (1920*1080), ips-level 60hz 72%ntsc thin bezel, close to 100%srgb",không có,,intel wi-fi 6 ax201(2*2 ax),1x type-c (usb4 / dp / thunderbolt™4) with pd charging2x type-a usb3.2 gen2,msi modern 14 b11sb 625vn,,beige mouse,,,,
62a5d5b05e7f53608f8c7f83,win 11,ryzen™ 3-5300u,laptop dell,https://anphat.com.vn/media/product/75_41335_39479_screenshot_3.jpg,laptop dell vostro 14 5415 p143g002agr (ryzen™ 3-5300u | 8gb | 256gb | amd redeon | 14-inch fhd | win 11 | office | xám),1.432 kg,amd redeon,0,https://www.anphatpc.com.vn/laptop-dell-vostro-14-5415-p143g002agr.html,laptop,bàn phím tiêu chuẩn,1 rj45 ethernet port,-,height: 17.02 mm - 17.99 mm width: 321.27 mm depth: 212.80 mm,256gb,256gb ssd m2 pcie nvme,14-inch fhd,không,,wi-fi 6 (wifi 802.11ax),2 usb 3.2 gen 1 ports1 usb 3.2 gen 1 type-c® with power delivery/displayport alt mode,dell vostro 14 5415 p143g002agr,2 khe,office,,,,8gb
62a5d5b05e7f53608f8c7f84,win 11,ryzen™ 5-3500u,laptop dell,https://anphat.com.vn/media/product/75_40208_,laptop dell vostro 3405 v4r53500u003w1 (ryzen™ 5-3500u | 8gb | 512gb | amd radeon™ | 14.0 inch fhd | win 11 | office | đen),1.6 kg,amd radeon™,0,https://www.anphatpc.com.vn/laptop-dell-vostro-3405-v4r53500u003w1.html,laptop,bàn phím tiêu chuẩn,,1 microsd card slot,rear height: 19.90 mm front height: 18.10 mmwidth: 328.70 mmdepth: 239.50 mm,512gb,,14.0 inch fhd,không có,8gb,802.11ac 1x1 wifi,2 usb 3.2 gen1 type-a ports1 usb 2.0 port,dell vostro 3405 v4r53500u003w1,2 khe,office,,,,8gb
62a5d5b05e7f53608f8c7f85,win 10,core i5-1135g7,laptop dell,https://anphat.com.vn/media/product/75_38906_60450_laptop_dell_inspiron_7400_n4i5134w_win10_bac_2021_8.png,laptop dell inspiron 7400 n4i5134w (core i5-1135g7 | 16gb | 512gb | mx350 2gb | 14.5 inch ips | win 10 | bạc),1.45kg,mx350 2gb,0,https://www.anphatpc.com.vn/laptop-dell-inspiron-7400-n4i5134w-core-i5-1135g7-16gb-512gb-mx350-2gb-14.5-inch-ips-win-10-bac.html,laptop,bàn phím tiêu chuẩn,,1 microsd-card slot,height (front): 14.25 mmheight (rear): 16.75 mmwidth: 321.69 mmdepth: 224.53 mm,512gb,512gb m.2 pcie nvme,14.5 inch ips,không,,intel® wi-fi 6 2x2 (gig+),1 thunderbolt™ 4 port2 usb 3.2 gen 1 ports,dell inspiron 7400 n4i5134w,,bạc,,,,16gb
62a5d5b15e7f53608f8c7f86,ubuntu,core i7-1185g7,laptop dell,https://anphat.com.vn/media/product/75_38724_thumb650_laptop_dell_latitude_13_7320_1.jpeg,laptop dell latitude 7320 42lt732002 (core i7-1185g7 | 8gb | 256gb | intel iris xe | 13.3 inch fhd | ubuntu | đen),1.12 kg,intel iris xe,0,https://www.anphatpc.com.vn/laptop-dell-latitude-7320-42lt732002-core-i7-1185g7-8gb-256gb-intel-iris-xe-13.3-inch-fhd-ubuntu-den.html,laptop,bàn phím tiêu chuẩn,,1 microsd-card slot,"height: 0.67"" (16.96mm) x width: 12.07"" (306.5mm) x depth: 7.85"" (199.5mm)",256gb,256gb pcie nvme ssd,13.3 inch fhd,không,,intel® wi-fi 6 ax201 2x2 .11ax 160mhz,1 usb 3.2 gen 1 port with powershare2 thunderbolt 4 ports with displayport alt mode/usb4/power delivery,dell latitude 7320 42lt732002,,đen,,,,8gb
62a5d5b15e7f53608f8c7f87,win11,ryzen™ 5-5500u,laptop hp,https://anphat.com.vn/media/product/75_41709_laptop_hp_245_g8_61c64pa___1_.jpg,laptop hp 245 g8 61c64pa (ryzen™ 5-5500u | 4gb | 256gb | amd radeon™ | 14 inch fhd | win11 | bạc),1.47 kg,amd radeon™,0,https://www.anphatpc.com.vn/laptop-hp-245-g8-61c64pa.html,laptop,bàn phím tiêu chuẩn,1 rj-45,-,32.4 x 22.59 x 1.99 cm,256gb,,14 inch fhd,không có,4gb (1 x 4gb),intel® 802.11a/b/g/n/ac (1x1) wi-fi®,2 super speed usb type-a 5gbps signaling rate; 1 superspeed usb type-c® 5gbps signaling rate;,hp 245 g8 61c64pa,2 khe,bạc,,,,4gb
62a5d5b15e7f53608f8c7f88,win 11,core™ i5-1135g7,laptop hp,https://anphat.com.vn/media/product/75_41102_laptop_hp_240_g8_617l2pa__1_.jpg,laptop hp 240 g8 617l2pa (core™ i5-1135g7 | 4gb | 256gb | intel® iris® xᵉ graphics | 14 inch fhd | win 11 | bạc),1.47 kg,intel® iris® xᵉ graphics,0,https://www.anphatpc.com.vn/laptop-hp-240-g8-617l2pa.html,laptop,bàn phím tiêu chuẩn,1 rj-45,-,32.4 x 22.59 x 1.99 cm,256gb,,14 inch fhd,không có,4gb(1 x 4gb),realtek 802.11a/b/g/n/ac (2x2) wi-fi®,2 super speed usb type-a 5gbps signaling rate; 1 superspeed usb type-c® 5gbps signaling rate;,hp 240 g8 617l2pa,2 khe,bạc,,,,4gb
62a5d5b15e7f53608f8c7f89,win 11,core ™i5-1155g7,laptop hp,https://anphat.com.vn/media/product/75_40562_laptop_hp_pavilion_14_dv1033tu_5z9u8pa__1_.jpg,laptop hp pavilion 14-dv1033tu 5z9u8pa (core ™i5-1155g7 | 8gb | 256gb | intel® iris® xe | 14 inch fhd | win 11 | bạc),1.41 kg,intel® iris® xe,0,https://www.anphatpc.com.vn/laptop-hp-pavilion-14-dv1033tu-5z9u8pa.html,laptop,bàn phím tiêu chuẩn,-,1 microsd media card reader,32.5 x 21.66 x 1.7 cm,256gb,,14 inch fhd,không có,8gb (2 x 4gb),realtek wi-fi 6 (1x2),"1 superspeed usb type-c® 10gbps signaling rate (usb power delivery, displayport™ 1.4, hp sleep and charge); 2 superspeed usb type-a 5gbps signaling rate;",hp pavilion 14-dv1033tu 5z9u8pa,-,bạc,,,,8gb
62a5d5b15e7f53608f8c7f8a,win 11,core ™ i3-1125g4,laptop hp,https://anphat.com.vn/media/product/75_40560_laptop_hp_pavilion_14_dv0514tu_46l83pa__1_.jpg,laptop hp pavilion 14-dv0514tu 46l83pa (core ™ i3-1125g4 | 4gb | 512gb | intel® uhd | 14 inch fhd | win 11 | vàng),1.41 kg,intel® uhd,0,https://www.anphatpc.com.vn/laptop-hp-pavilion-14-dv0514tu-46l83pa.html,laptop,bàn phím tiêu chuẩn,-,1 microsd media card reader,32.5 x 21.66 x 1.7 cm,512gb,,14 inch fhd,không có,4gb (1 x 4gb),realtek rtl8822ce 802.11a/b/g/n/ac (2x2) wi-fi®,"1 superspeed usb type-c® 10gbps signaling rate (usb power delivery, displayport™ 1.4, hp sleep and charge); 2 superspeed usb type-a 5gbps signaling rate;",hp pavilion 14-dv0514tu 46l83pa,-,vàng,,,,4gb
62a5d5b25e7f53608f8c7f8b,win 11,core™ i5-1135g7,laptop hp,https://anphat.com.vn/media/product/75_40559_laptop_hp_15s_du3593tu_63p89pa__1_.jpg,laptop hp 15s-du3593tu 63p89pa (core™ i5-1135g7 | 8gb | 256gb | intel® iris® xe | 15.6 inch hd | win 11 | bạc),1.75 kg,intel® iris® xe,0,https://www.anphatpc.com.vn/laptop-hp-15s-du3593tu-63p89pa.html,laptop,bàn phím tiêu chuẩn,1 rj-45,1 multi-format sd media card reader,35.85 x 24.2 x 1.99 cm,256gb,,15.6 inch hd,không có,8gb(2 x 4gb),realtek rtl8821ce-m 802.11a/b/g/n/ac (1x1) wi-fi®,1 superspeed usb type-c® 5gbps signaling rate; 2 superspeed usb type-a 5gbps signaling rate;,hp 15s-du3593tu 63p89pa,-,bạc,,,,8gb
62a5d5b25e7f53608f8c7f8c,freedos,intel® core i5-1135g7,laptop hp,https://anphat.com.vn/media/product/75_36852_35871_57018_hp_probook_450g8__4_.png,laptop hp probook 450 g8 2z6k7pa,1.74 kg,intel® iris® xᵉ graphics,17990000,https://www.anphatpc.com.vn/laptop-hp-probook-450-g8-2z6k7pa.html,laptop,"bàn phím tiêu chuẩn, có bàn phím số",realtek 10/100/1000 gbe nic,1 microsd,35.94 x 23.39 x 1.99 cm,4gb(1 x 4gb) ddr4 3200mhz,256gb pcie® nvme™ ssd,"15.6 inch, fhd (1920 x 1080), ips, narrow bezel, anti-glare, 250 nits, 45% ntsc",không,,intel® ax201 wi-fi 6 (2x2),"2 superspeed usb type-a 5gbps signaling rate (1 charging, 1 power); 1 superspeed usb type-c® 10gbps signaling rate (usb power delivery, displayport™ 1.4);",hp probook 450 g8 2z6k7pa,2 khe,bạc,,,,
62a5d5b25e7f53608f8c7f8d,win 11,core ™ i5-1135g7,laptop hp,https://anphat.com.vn/media/product/75_41007_laptop_hp_probook_430_g8_614k8pa__1_.jpg,laptop hp probook 430 g8 614k8pa (core ™ i5-1135g7 | 4gb | 256gb | intel® iris® xe | 13.3 inch fhd | win 11 | bạc),1.28 kg,intel® iris® xe,0,https://www.anphatpc.com.vn/laptop-hp-probook-430-g8-614k8pa.html,laptop,bàn phím tiêu chuẩn - đèn nền bàn phím,-,-,6.9 x 48.3 x 30.5 cm,256gb,,13.3 inch fhd,không có,4gb(1 x 4gb),intel® ax201 wi-fi 6 (2x2),"2 superspeed usb type-a 5gbps signaling rate (1 charging, 1 power)",hp probook 430 g8 614k8pa,2 khe,bạc,,,,4gb
62a5d5b25e7f53608f8c7f8e,win 11,ryzen 5-5600h,laptop msi,https://anphat.com.vn/media/product/75_39516_20760_laptop_msi_bravo_15_b5dd_265vn_0.jpg,laptop msi bravo 15 b5dd 265vn (ryzen 5-5600h | 8gb | 512gb | rx 5500m 4gb | 15.6 inch fhd | win 11 | đen),1.96 kg,rx 5500m 4gb,21990000,https://www.anphatpc.com.vn/laptop-msi-bravo-15-b5dd-265vn-ryzen-5-5600h-8gb-512gb-rx-5500m-4gb-15.6-inch-fhd-win-11-den_id39516.html,laptop,bàn phím tiêu chuẩn - single backlight kb(red),gb lan,-,397 x 260 x 22~23.1 mm,512gb,512gb nvme pcie gen3x4 ssd,15.6 inch fhd,không,,intel wi-fi 6 ax201(2*2 ax),2x type-c usb3.2 gen12x type-a usb3.2 gen1,msi bravo 15 b5dd 265vn,"2 khe, tối đa 64gb",đen,,,,8gb
62a5d5b35e7f53608f8c7f8f,win 11,ryzen 7-5800h,laptop msi,https://anphat.com.vn/media/product/75_39935_39519_product_1621751089660757a2ea3f377b8062e5402d3484be.png,laptop gaming msi bravo 15 b5dd 275vn (ryzen 7-5800h | 8gb | 512gb | rx 5500m 4gb | 15.6 inch fhd | win 11 | đen),1.96 kg,rx 5500m 4gb,22790000,https://www.anphatpc.com.vn/laptop-gaming-msi-bravo-15-b5dd-275vn_id39935.html,laptop,bàn phím tiêu chuẩn - single backlight kb(red),gb lan,-,397 x 260 x 22~23.1 mm,512gb,,15.6 inch fhd,không có,8gb(8gbx1),intel wi-fi 6 ax201(2*2 ax),2x type-c usb3.2 gen12x type-a usb3.2 gen1,msi bravo 15 b5dd 275vn,2 khe,đen,,,,8gb
62a5d5b35e7f53608f8c7f90,win 11,ryzen 7-5800h,laptop msi,https://anphat.com.vn/media/product/75_38627_,laptop msi delta 15 a5efk-095vn (ryzen 7-5800h | 16gb | 512gb | rx 6700m 10gb | 15.6 inch fhd | win 11 | đen),1.9 kg,rx 6700m 10gb,0,https://www.anphatpc.com.vn/laptop-msi-delta-15-a5efk-095vn-ryzen-7-5800h-16gb-512gb-rx-6700m-10gb-15.6-inch-fhd-win-11-den.html,laptop,bàn phím tiêu chuẩn - rgb backlight,,-,357 x 247 x 19 mm,512gb,512gb nvme pcie gen3x4 ssd (new),15.6 inch fhd,không,,802.11 ax wi-fi 6e,1x type-c usb3.2 gen22x type-a usb3.2 gen21x type-c (usb3.2 gen2 / dp),msi delta 15 a5efk-095vn,"2 khe, tối đa 64gb",đen,,,,16gb
62a5d5b35e7f53608f8c7f91,win 10,ryzen 3-5300u,laptop hp,https://anphat.com.vn/media/product/75_39152_8602_hp_14s_fq1080au.jpg,laptop hp 14s-fq1080au 4k0z7pa (ryzen 3-5300u | 4gb | 256gb | radeon vega | 14 inch hd | win 10 | bạc),1.47 kg,radeon vega,12290000,https://www.anphatpc.com.vn/laptop-hp-14s-fq1080au-4k0z7pa-ryzen-3-5300u-4gb-256gb-radeon-vega-14-inch-hd-win-10-bac_id39152.html,laptop,bàn phím tiêu chuẩn,,1 multi-format sd media card reader,32.4 x 22.5 x 1.79 cm,256gb,256gb pcie nvme,14 inch hd,không,,intel® wireless-ac 9461 802.11a/b/g/n/ac (1x1) wi-fi,1 superspeed usb type-c® 5gbps signaling rate; 2 superspeed usb type-a 5gbps signaling rate,hp 14s-fq1080au 4k0z7pa,,bạc,,,,4gb
62a5d5b35e7f53608f8c7f92,win 10,core™ i7-11800h,laptop msi,https://anphat.com.vn/media/product/75_41209_laptop_msi_katana_gf66_11ud_696vn__1_.jpg,laptop msi katana gf66 11ud 696vn (core™ i7-11800h | 8gb | 512gb | rtx™ 3050ti 4gb | 15.6 inch fhd | win 10 | black),2.25 kg,rtx™ 3050ti 4gb,29290000,https://www.anphatpc.com.vn/laptop-msi-katana-gf66-11ud-696vn.html,laptop,"bàn phím tiêu chuẩn - backlight keyboard (single-color, red)",802.11 ax wi-fi 6,-,359 x 259 x 24.9 mm,512gb,,15.6 inch fhd,không có,8gb,gb lan,1x type-c usb3.2 gen12x type-a usb3.2 gen11x type-a usb2.0,msi katana gf66 11ud 696vn,2 khe,black,,,,8gb
62a5d5b45e7f53608f8c7f93,win 10,core™ i7-1165g7,laptop lenovo,https://anphat.com.vn/media/product/75_41078_laptop_lenovo_yoga_duet_7_13itl6_82ma003wvn__8_.jpg,laptop lenovo yoga duet 7 13itl6 82ma003wvn (core™ i7-1165g7 | 16gb | 1tb ssd | intel iris xe | 13 inch wqhd | win 10 | tím phong lan),1.16kg,intel iris xe,34999000,https://www.anphatpc.com.vn/laptop-lenovo-yoga-duet-7-13itl6-82ma003wvn.html,laptop,bàn phím tiêu chuẩn,,1x microsd card reader,pad: 297.4 x 207.4 x 9.19 mm folio keyboard: 297.4 x 221.2 x 6 mm,1tb ssd,,13 inch wqhd,không có,16gb soldered,"wi-fi 6 11ax, 2x2","1x usb-c 3.2 gen 1 (support data transfer and always on)1x usb-c 3.2 gen 1 (support data transfer and power delivery 3.0)1x thunderbolt 4 / usb4 40gbps (support data transfer, power delivery 3.0 and displayport 1.4)",lenovo yoga duet 7 13itl6 82ma003wvn,-,tím phong lan,,,,16gb
62a5d5b45e7f53608f8c7f94,,"apple m1 pro chip with 10-core cpu and 16-core gpu, 16-core neural engine",apple,https://anphat.com.vn/media/product/75_39840_20767_macbook_pro_16_inch_2021__mk183sa_a.jpg,laptop apple macbook pro 16 inch m1 pro chip 10‑core cpu | 16‑core gpu | 512gb ssd | space grey | mk183sa/a,,,61900000,https://www.anphatpc.com.vn/laptop-apple-macbook-pro-16-inch-m1-pro-chip-10-core-cpu-16-core-gpu-512gb-ssd-space-grey-mk183sa-a_id39840.html,laptop,,,,,,,16.2 inch (3456 x 2234) liquid retina xdr display,,,,,macbook pro 16 inch m1 pro chip 10‑core cpu | 16‑core gpu | 512gb ssd | space grey | mk183sa/a,,space grey,,,,
62a5d5b45e7f53608f8c7f95,,"apple m1 pro chip with 10-core cpu and 16-core gpu, 16-core neural engine",apple,https://anphat.com.vn/media/product/75_39843_20768_macbook_pro_16inch_2021__mk1e3sa.jpg,laptop apple macbook pro 16 inch m1 pro chip 10‑core cpu | 16‑core gpu | 1tb ssd | silver | mk1f3sa/a,,,63890000,https://www.anphatpc.com.vn/laptop-apple-macbook-pro-16-inch-m1-pro-chip-10-core-cpu-16-core-gpu-1tb-ssd-silver-mk1f3sa-a_id39843.html,laptop,,,,,,,16.2 inch (3456 x 2234) liquid retina xdr display,,,,,macbook pro 16 inch m1 pro chip 10‑core cpu | 16‑core gpu | 1tb ssd | silver | mk1f3sa/a,,silver,,,,
62a5d5b45e7f53608f8c7f96,win 11,core™ i7-11800h,laptop hp,https://anphat.com.vn/media/product/75_40092_60587_victus_mica_silver_1.jpg,laptop hp victus 16-d0198tx 4r0u0pa (core™ i7-11800h | 8gb | 512gb | rtx™ 3050ti 4gb | 16.1 inch fhd | win 11 | mica silver),2.46 kg,rtx™ 3050ti 4gb,28990000,https://www.anphatpc.com.vn/laptop-hp-victus-16-d0198tx-4r0u0pa.html,laptop,bàn phím tiêu chuẩn - đèn nền bàn phím,,-,37 x 26 x 2.35 cm,512gb,,16.1 inch fhd,không có,8gb(2 x 4gb),intel® wi-fi 6 ax201 (2x2),"1 superspeed usb type-c® 5gbps signaling rate (displayport™ 1.4, hp sleep and charge); 1 superspeed usb type-a 5gbps signaling rate (hp sleep and charge); 2 superspeed usb type-a 5gbps signaling rate;",hp victus 16-d0198tx 4r0u0pa,2,mica silver,,,,8gb
62a5d5b45e7f53608f8c7f97,,"apple m1 pro chip with 10-core cpu and 16-core gpu, 16-core neural engine",apple,https://anphat.com.vn/media/product/75_39838_61327_apple_macbook_pro_14_4.jpg,laptop apple macbook pro 14 inch m1 pro chip 10‑core cpu | 16‑core gpu | 1tb ssd | space grey | mkgq3sa/a,,,59500000,https://www.anphatpc.com.vn/laptop-apple-macbook-pro-14-inch-m1-pro-chip-10-core-cpu-16-core-gpu-1tb-ssd-space-grey-mkgq3sa-a_id39838.html,laptop,,,,,,,14.2 inch (3024 x 1964) liquid retina xdr display,,,,,macbook pro 14 inch m1 pro chip 10‑core cpu | 16‑core gpu | 1tb ssd | space grey | mkgq3sa/a,,space grey,,,,
62a5d5b55e7f53608f8c7f98,win 10,ryzen 7-4700u,laptop dell,https://anphat.com.vn/media/product/75_38267_nbde0665.jpg,laptop dell inspiron 5505 n5r74700u104w (ryzen 7-4700u | 8gb | 512gb | amd redeon | 15.6 inch fhd | win 10 | bạc),1.83 kg,amd redeon,21890000,https://www.anphatpc.com.vn/laptop-dell-inspiron-5505-n5r74700u104w-ryzen-7-4700u-8gb-512gb-amd-redeon-15.6-inch-fhd-win-10-bac.html,laptop,bàn phím tiêu chuẩn,,1 x microsd,-,512gb,512gb ssd m2 pcie nvme,15.6 inch fhd,không,,intel® wi-fi 6 ax200 2x2 (gig+),1 x usb-c2 x usb-a 3.1 gen 1,dell inspiron 5505 n5r74700u104w,2 khe,bạc,,,,8gb
62a5d5b55e7f53608f8c7f99,win 10,ryzen 7-5800h,laptop dell,https://anphat.com.vn/media/product/75_38991_dellg15_phantomgrey_1.jpg,laptop dell g15 ryzen edition 5515 70258051 (ryzen 7-5800h | 16gb | 512gb | rtx 3050ti 4gb | 15.6 inch fhd | win 10 | xám),2.65 kg,rtx 3050ti 4gb,0,https://www.anphatpc.com.vn/laptop-dell-g15-ryzen-edition-5515-70258051-ryzen-7-5800h-16gb-512gb-rtx-3050ti-4gb-15.6-inch-fhd-win-10-xam.html,laptop,"bàn phím tiêu chuẩn, có bàn phím số",1 rj45 ethernet port,-,height (front): 21.21 mm x height (rear): 23.33 mm x width: 357.26 mm x depth: 272.11 mm,512gb,512gb pcie nvme m.2 ssd,15.6 inch fhd,không,,killer wi-fi 6 ax1650 (2x2),"1 x usb-c 3.2 gen 2 tích hợp displayport 1.4, 3 x usb-a 3.2 gen 1,",dell g15 ryzen edition 5515 70258051,,xám,,,,16gb
62a5d5b55e7f53608f8c7f9a,win 10,ryzen 5-5600h,laptop dell,https://anphat.com.vn/media/product/75_39017_,laptop dell g15 5515 p105f004bgr (ryzen 5-5600h | 16gb | 512gb | rtx 3050 4gb | 15.6 inch fhd | win 10 | xám),2.57kg,rtx 3050 4gb,28290000,https://www.anphatpc.com.vn/laptop-dell-g15-5515-p105f004bgr-ryzen-5-5600h-16gb-512gb-rtx-3050-4gb-15.6-inch-fhd-win-10-xam.html,laptop,"bàn phím tiêu chuẩn, có bàn phím số - english backlit 4-zone rgb",1 rj45 ethernet port,-,height (front): 21.21 mm x height (rear): 23.33 mm x width: 357.26 mm x depth: 272.11 mm,512gb,512gb pcie nvme m.2 ssd,15.6 inch fhd,không,,killer wi-fi 6 ax1650 (2x2),"1 x usb-c 3.2 gen 2 tích hợp displayport 1.4, 3 x usb-a 3.2 gen 1,",dell g15 5515 p105f004bgr,,xám,,,,16gb
62a5d5b55e7f53608f8c7f9b,win 10,ryzen™ 5-3500u,laptop dell,https://anphat.com.vn/media/product/75_39249_,laptop dell inspiron 15 3505 y1n1t5 (ryzen™ 5-3500u | 8gb | 512gb | amd radeon™ | 15.6 inch fhd | win 10 | office home | đen),1.83 kg,amd radeon™,18590000,https://www.anphatpc.com.vn/laptop-dell-inspiron-15-3505-y1n1t5-ryzen-5-3500u-8gb-512gb-amd-radeon-15.6-inch-fhd-win-10-office-home-den.html,laptop,"bàn phím tiêu chuẩn, có bàn phím số",1 rj45 - 10/100mbps ethernet port,1 sd media card reader,"height: 18.0 mm – 19.9 mm (0.71"" – 0.78"")width: 363.96 mm (14.33"")depth: 249 mm (9.80"")",512gb,512gb m.2 pcie nvme ssd,15.6 inch fhd,không có,,802.11ac 1x1 wifi,1 usb 2.0 port2 usb 3.2 gen 1 ports,dell inspiron 15 3505 y1n1t5,2 khe,office home,,,,8gb
62a5d5b65e7f53608f8c7f9c,win 11,ryzen™ 5-5600h,laptop msi,https://anphat.com.vn/media/product/75_41024_laptop_msi_alpha_15_b5eek_203vn__1_.jpg,laptop msi alpha 15 b5eek 203vn (ryzen™ 5-5600h | 8gb | 512gb | rx 6600m 8gb | 15.6 inch fhd | win 11 | đen),2.35 kg,rx 6600m 8gb,28190000,https://www.anphatpc.com.vn/laptop-msi-alpha-15-b5eek-203vn.html,laptop,bàn phím tiêu chuẩn - đèn nền bàn phím,gb lan (up to 2.5g),-,359 x 259 x 23.95 mm,512gb,,15.6 inch fhd,không có,8gb,802.11 ax wi-fi 6,1x type-c (usb3.2 gen1 / dp)2x type-a usb3.2 gen11x type-a usb2.0,msi alpha 15 b5eek 203vn,2 khe,đen,,,,8gb
62a5d5b65e7f53608f8c7f9d,windows 11 home,,laptop asus,https://anphat.com.vn/media/product/75_40985_laptop_asus_vivobook_x515ep_bq529w__1_.jpg,laptop asus vivobook x515ep-bq529w (core™ i5-1135g7 | 512gb | mx330 2gb | 15.6-inch fhd | win 11 | xám),1.80 kg,nvidia® geforce® mx330 2gb gddr5,17890000,https://www.anphatpc.com.vn/laptop-asus-vivobook-x515ep-bq529w.html,laptop,"bàn phím tiêu chuẩn, có bàn phím số",,micro sd card reader,36.00 x 23.50 x 1.99 ~ 1.99 cm,512gb m.2 nvme™ pcie® 3.0 ssd,,,không có,8gb ddr4,wi-fi 5(802.11ac),1x usb 3.2 gen 1 type-a1x usb 3.2 gen 1 type-c2x usb 2.0 type-a,asus vivobook x515ep-bq529w,-,xám,,,,
